,title,rating,date,cleaned_content,sentiment_score,sentiment,label
24,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
26,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
27,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
28,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
29,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
32,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
33,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
37,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
39,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
40,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
41,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
42,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
45,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
46,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
50,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
52,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
53,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
54,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
55,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
58,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
59,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
63,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
65,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
66,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
67,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
68,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
71,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
72,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
76,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
78,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
79,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
80,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
81,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
84,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
85,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
89,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
91,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
92,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
93,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
94,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
97,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
98,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
102,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
104,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
105,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
106,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
107,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
110,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
111,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
115,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
117,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
118,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
119,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
120,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
123,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
124,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
128,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
130,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
131,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
132,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
133,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
136,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
137,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
141,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
143,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
144,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
145,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
146,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
149,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
150,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
154,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
156,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
157,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
158,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
159,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
162,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
163,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
167,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
169,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
170,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
171,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
172,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
175,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
176,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
180,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
182,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
183,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
184,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
185,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
188,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
189,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
193,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
195,Very Great Processor . . .,5.0,2024-04-24,The processor power efficient develop android apps web development processor beast I little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd Read,0.7845,positive,1
196,Best CPU for Budget Ballers.,5.0,2024-06-15,This processor great mid high range budget builds looking cpu around 10K INR perfect choice 6 Cores 12 Threads quite powerful For pairing RX 6600 gave around 120 FPS almost games playing High Graphics About stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job Overall 9 5 10 product Read,0.9518,positive,1
197,Thanku,5.0,2024-07-01,Thanku Appario send best cpuRead,0.6369,positive,1
198,No discrete graphics in this processor,4.0,2024-02-18,This work without graphic card So careful ordering Read,0.2769,positive,1
201,Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,I recently purchased i5 processor Amazon unfortunately turned defective Despite efforts seek assistance Amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain Disappointed product lack support I advise potential buyers exercise caution considering purchase Read,-0.7717,negative,0
202,Highest Price to Performance processor for gaming.,5.0,2024-03-24,I upgrade 9400f The performance gain huge I use cooler master hyper 212 cbinet 3 intake 2 exhaust fan Temp never cross 60 c even full load stress test The efficiency processor incredible runs 1 2 volt It never reach 1 2v even Multi core stress test If building mid range PC gaming purpose cpu consider At price point nothing beat processor Read,0.3871,positive,1
206,,,2024-04-10,Switched 6th gen i5 6600k 12400f I feel significant improvement Especially daily tasks games works perfectly I got ddr5 6000mhz cl30 ram well works without problem Combined 4060 ti consumes little power gets everything need done far I got noctua cooler though works really quiet cool Perfect price About 500sek cheaper version integrated graphics low profile gpus case want simple daily office use Read,0.9524,positive,1
208,i9 14th gen is the beast!,5.0,2023-11-20,Just upgraded i5 9400f i9 14900k super happy performance I able achieve It simply works buttery smooth Large applications open like notepad apps It heats lot though I went MSI coreliquid liquid cooling solution If looking upgrade 13th gen save money performance identical however setting new PC definitely go My setup MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro 1 TBRipjaws 32gb ddr5Bonus tip If u struck setting ur PC go MSI support super responsive assist I got wiring fixed matter minutes ona video call assistant Read,0.9764,positive,1
209,Worst! Gave me used and defective product.,1.0,2024-06-25,Motherboard Gigabyte z790 ud ac detecting cpuThe packaging worst Go store instead test buy Don buy Read,-0.6249,negative,0
210,Worst quality,1.0,2024-03-28,I liked price I Also liked performance Rather purchase i9 13th generationRead,0.6808,positive,1
211,Waste of money,1.0,2023-12-07,13 gen better performence low pricing Avoid product cause 2 core touching 6000 mhz real life difference Read,-0.1027,negative,0
212,It's just a overclocked i7 13700k,2.0,2023-10-25,What meaning new chip provides generational uplift except thing better last gen hefty power consumption ur fine work fine I think ur electricity bill gonna sky rocket 3 5 uplift 15 money worth rather buy 13 12 gen ddr5 ram help else get r7 7700 provide less like 10 percent 50 percentage less power draw ryzen better comes desktop processor efficiency value moneyRead,0.9525,positive,1
213,Beast gaming 💪🐻,5.0,2023-10-23,Beast gaming world 2nd powerful processor set processer RTX 4070 16gb ram 2048gb 2tb nvme 2 ssd 850 watts pls buy itRead,0.4767,positive,1
